Alula Australis;Алюла Австралис;ξ;UMa;;HR 4375;4.41;169.545423;31.529161;;Южная Алула, Мицар
Alula Borealis;Алюла Бореалис;ν;UMa;;HR 4377;3.49;169.619737;33.094305;;Северная Алула
Alya;Алия;θ;Ser;1;HR 7141;4.62;284.054949;4.203602;;
Alzirr;Альзирр;ξ;Gem;;HR 2484;3.35;101.322351;12.895592;;Мекбуда
Ancha;Анха;θ;Aqr;;HR 8499;4.17;334.208485;-7.783291;;Анча, Лэи
Angetenar;Ангетенар;τ;Eri;2;HR 850;4.76;42.759674;-21.004018;;Аргентенар, Анхенетенар
Ankaa;Анкаа;α;Phe;;HR 99;2.40;6.570939;-42.306084;;Наир аль Заурак
Anser;Ансер;α;Vul;;HR 7405;4.44;292.176375;24.664903;;
Antares;Антарес;α;Sco;;HR 6134;1.06;247.351915;-26.432003;;Акраб, Сердце Скорпиона
Arcturus;Арктур;α;Boo;;HR 5340;-0.05;213.915300;19.182409;;
Arkab Posterior;Аркаб Постериор;β;Sgr;2;HR 7343;4.27;290.804740;-44.799779;;Аркаб
Arkab Prior;Аркаб Приор;β;Sgr;1;HR 7337;3.96;290.659551;-44.458959;;Аркаб
Arneb;Арнеб;α;Lep;;HR 1865;2.58;83.182567;-17.822289;;
Ascella;Асцелла;ζ;Sgr;;HR 7194;2.60;285.653043;-29.880063;;Аскелла
Asellus Australis;Азеллюс Австралис;δ;Cnc;;HR 3461;3.94;131.171248;18.154309;;Азеллюс Аустралис, Южный Асель
Asellus Borealis;Азеллюс Бореалис;γ;Cnc;;HR 3449;4.66;130.821442;21.468501;;Северный Асель
Ashlesha;Ашлеша;ε;Hya;;HR 3482;3.49;131.693794;6.418809;;
Aspidiske;Аспидиске;ι;Car;;HR 3699;2.21;139.272529;-59.275232;;Турайс, Турьеш, Скутулум
Asterope;Астеропа;21;Tau;;HR 1151;5.76;56.476987;24.554512;;Стеропа I
Athebyne;Athebyne;η;Dra;;HR 6132;2.73;245.997858;61.514214;;
Atik;Атик;ο;Per;;HR 1131;3.84;56.079720;32.288240;;
Atlas;Атлас;27;Tau;;HR 1178;3.62;57.290597;24.053415;;
Atria;Атрия;α;TrA;;HR 6217;1.91;252.166229;-69.027712;;Атриа
Avior;Авиор;ε;Car;;HR 3307;1.86;125.628480;-59.509484;;
Azelfafage;Азельфафага;π;Cyg;1;HR 8301;4.69;325.523602;51.189623;;
Azha;Азха;η;Eri;;HR 874;3.89;44.106873;-8.898145;;Азга
Azmidi;Асмидиске;ξ;Pup;;HR 3045;3.45;117.323563;-24.859786;;Асмидиск
Barnard's Star;;;Oph;;GJ 699;9.54;269.454023;4.668288;;
Barnard’s Star;Звезда Барнарда;;Oph;;HIP 87937;9.54;;;;
Baten Kaitos;Батен Каитос;ζ;Cet;;HR 539;3.74;27.865137;-10.335044;;
Beemim;Беемим;υ;Eri;3;HR 1393;3.97;66.009239;-34.016848;;
Beid;Бейд;ο;Eri;1;HR 1298;4.04;62.966415;-6.837580;;Ситула, Ваза
Bellatrix;Беллатрикс;γ;Ori;;HR 1790;1.64;81.282764;6.349703;;Беллятрикс, Альнаджид
Betelgeuse;Бетельгейзе;α;Ori;;HR 2061;0.45;88.792939;7.407064;;
Bharani;Bharani;41;Ari;;HR 838;3.61;42.495972;27.260507;;
Biham;Бихам;θ;Peg;;HR 8450;3.52;332.549939;6.197863;;Бахам
Botein;Ботейн;δ;Ari;;HR 951;4.35;47.907356;19.726674;;
Brachium;Брахиум;σ;Lib;;HR 5603;3.25;226.017567;-25.281961;;Корну
Bunda;Бунда;ξ;Aqr;;HR 8264;4.80;324.437956;-7.854202;;
Canopus;Канопус;α;Car;;HR 2326;-0.62;95.987958;-52.695661;;Сухель
